file,status,max_abs_diff,n_diff,detail
mi_sim_biv_a_acml_100204.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100205.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100206.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100207.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100208.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100209.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100210.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100211.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100212.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100213.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100214.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100215.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100216.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100217.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100218.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100219.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100220.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100221.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100222.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100223.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100224.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100225.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100226.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100227.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100228.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100229.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100230.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100231.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100232.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100233.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100234.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100235.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100236.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100237.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100238.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100239.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100240.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100241.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100242.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100243.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100244.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100245.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100246.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100247.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100248.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100249.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100250.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100251.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100252.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100253.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100254.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100255.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100256.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100257.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100258.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100259.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100260.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100261.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100262.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100263.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100264.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100265.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100266.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100267.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100268.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100269.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100270.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100271.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100272.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100273.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100274.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100275.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100276.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100277.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100278.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100279.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100280.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100281.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100282.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100283.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100284.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100285.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100286.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100287.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100288.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100289.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100290.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100291.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100292.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100293.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100294.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100295.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100296.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100297.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100298.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100299.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100300.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100301.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100302.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100303.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100304.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100305.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100306.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100307.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100309.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100310.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100311.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100312.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100313.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100314.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100315.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100316.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100317.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100318.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100319.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100320.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100321.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100323.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100324.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100325.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100326.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100327.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100328.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100329.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100330.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100332.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100333.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100334.csv,only_in_old_folder,NA,NA,NA
mi_sim_biv_a_acml_100335.csv,only_in_old_folder,NA,NA,NA
